Title,Description,Priority,Status,Assignee,Created,Completed,Labels,Estimate
Implement Google OAuth,Use Auth.js or Supabase Auth,,To Do,,2025-08-04,,backend,
Set user roles on signup,"Skipper vs Drammer, store in DB",,To Do,,2025-08-04,,backend,
Add Markdown editor for blog posts,Use MDX or TipTap,,To Do,,2025-08-04,,frontend,
Upload images via Supabase,Store blog image assets,,To Do,,2025-08-04,,backend,
Add world map visualization,Use amCharts with country overlays,,To Do,,2025-08-04,,frontend,
Create Skipper profile page,Public profile with map + blogs,,To Do,,2025-08-04,,frontend,
Create badge logic,Based on follower thresholds,,To Do,,2025-08-04,,backend,
Deploy to Vercel,Astro frontend live,,To Do,,2025-08-04,,devops,
Connect YouTube OAuth,Fetch live subscriber count,,Backlog,,2025-08-04,,backend,
Add Explore page,Guide discovery with filters,,Backlog,,2025-08-04,,frontend,
Add OpenAI itinerary generator,Use tags to generate travel plans,,Backlog,,2025-08-04,,backend,
Stripe for Pro Skippers,Charge monthly for analytics and promo,,Backlog,,2025-08-04,,backend,
Affiliate links support,Use UTM links to booking platforms,,Backlog,,2025-08-04,,backend,
Add post analytics,Views/downloads for blog/guide,,Backlog,,2025-08-04,,backend,
